epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1513.02,0.51666,0.50388,0.97331,0.9087,0.90196,0.8891,0.77377,0.70686,0.67618,0.99902,0.000990365,0.000990365,0.000990365
43,1548.62,0.53457,0.52086,0.98025,0.88699,0.90186,0.87317,0.78034,0.58045,0.66596,0.91145,0.000973861,0.000973861,0.000973861
44,1583.87,0.52142,0.49283,0.97627,0.81857,0.8919,0.91843,0.80777,0.56137,0.66132,0.90361,0.000957358,0.000957358,0.000957358
45,1622.2,0.51666,0.52896,0.96813,0.80402,0.89462,0.90968,0.79448,0.63351,0.72501,0.94107,0.000940855,0.000940855,0.000940855
46,1658.55,0.48881,0.50194,0.96975,0.86837,0.88725,0.91054,0.83472,0.52377,0.67064,0.89693,0.000924352,0.000924352,0.000924352
47,1693.94,0.48377,0.46924,0.94924,0.90443,0.88725,0.97187,0.88078,0.52279,0.50906,0.87969,0.000907848,0.000907848,0.000907848
48,1730.06,0.4781,0.45987,0.95898,0.90111,0.90345,0.97129,0.88572,0.55422,0.53139,0.90018,0.000891345,0.000891345,0.000891345
49,1765.37,0.47934,0.45572,0.9489,0.9643,0.91267,0.97986,0.90324,0.50489,0.54515,0.8785,0.000874842,0.000874842,0.000874842
50,1801.59,0.48386,0.45625,0.96302,0.93714,0.7462,0.88987,0.81218,0.56198,0.62621,0.89706,0.000858338,0.000858338,0.000858338
51,1837.32,0.52566,0.48051,0.97043,0.98853,0.9992,0.995,0.90629,0.56898,0.53808,0.8946,0.000841835,0.000841835,0.000841835
52,1873.05,0.49735,0.47318,0.9649,0.97056,0.92065,0.98162,0.89849,0.59369,0.68557,0.90901,0.000825332,0.000825332,0.000825332
53,1909.44,0.48502,0.45012,0.94769,0.98408,0.95588,0.98825,0.91648,0.52152,0.60317,0.87301,0.000808828,0.000808828,0.000808828
54,1945.24,0.47707,0.4422,0.95231,0.98918,0.98529,0.99471,0.92171,0.53652,0.50656,0.87024,0.000792325,0.000792325,0.000792325
55,1981.27,0.49989,0.46217,0.98237,0.98984,1,0.995,0.92341,0.54116,0.45652,0.92885,0.000775822,0.000775822,0.000775822
56,2016.23,0.50313,0.46153,0.97034,0.90869,0.98529,0.99154,0.90302,0.52947,0.49243,0.89409,0.000759318,0.000759318,0.000759318
57,2052.45,0.46089,0.46364,0.93793,0.90742,0.97475,0.97933,0.88971,0.58091,0.58556,0.90911,0.000742815,0.000742815,0.000742815
58,2088.32,0.43847,0.43265,0.92678,0.90511,0.98529,0.98276,0.90809,0.52942,0.45662,0.85589,0.000726312,0.000726312,0.000726312
